date,application,page_views
2021-02-08,FIND Sars-CoV-2 Policy dashboard,0
2021-02-08,FIND Sars-CoV-2 Test tracker,752
2021-02-08,FIND Test directory (COVID-19),8
2021-02-08,FIND Test directory (Ebola),0
2021-02-08,FIND Test directory (Monkeypox),0
2021-02-08,FIND Test directory (NTDs),0
2021-02-15,FIND EQA directory (COVID-19),0
2021-02-15,FIND NGS Capacity (COVID-19),0
2021-02-15,FIND Sars-CoV-2 Policy dashboard,0
2021-02-15,FIND Sars-CoV-2 Test tracker,818
2021-02-15,FIND Test directory (COVID-19),384
2021-02-15,FIND Test directory (Ebola),0
2021-02-15,FIND Test directory (Monkeypox),0
2021-02-15,FIND Test directory (NTDs),0
2021-02-22,FIND EQA directory (COVID-19),0
2021-02-22,FIND NGS Capacity (COVID-19),0
2021-02-22,FIND Sars-CoV-2 Policy dashboard,0
2021-02-22,FIND Sars-CoV-2 Test tracker,799
2021-02-22,FIND Test directory (COVID-19),644
2021-02-22,FIND Test directory (Ebola),0
2021-02-22,FIND Test directory (Monkeypox),0
2021-02-22,FIND Test directory (NTDs),0
2021-03-01,FIND EQA directory (COVID-19),0
2021-03-01,FIND NGS Capacity (COVID-19),0
2021-03-01,FIND Sars-CoV-2 Policy dashboard,0
2021-03-01,FIND Sars-CoV-2 Test tracker,756
2021-03-01,FIND Test directory (COVID-19),898
2021-03-01,FIND Test directory (Ebola),0
2021-03-01,FIND Test directory (Monkeypox),0
2021-03-01,FIND Test directory (NTDs),0
2021-03-08,FIND EQA directory (COVID-19),0
2021-03-08,FIND NGS Capacity (COVID-19),0
2021-03-08,FIND Sars-CoV-2 Policy dashboard,0
2021-03-08,FIND Sars-CoV-2 Test tracker,738
2021-03-08,FIND Test directory (COVID-19),771
2021-03-08,FIND Test directory (Ebola),0
2021-03-08,FIND Test directory (Monkeypox),0
2021-03-08,FIND Test directory (NTDs),0
2021-03-15,FIND EQA directory (COVID-19),0
2021-03-15,FIND NGS Capacity (COVID-19),0
2021-03-15,FIND Sars-CoV-2 Policy dashboard,0
2021-03-15,FIND Sars-CoV-2 Test tracker,892
2021-03-15,FIND Test directory (COVID-19),704
2021-03-15,FIND Test directory (Ebola),0
2021-03-15,FIND Test directory (Monkeypox),0
2021-03-15,FIND Test directory (NTDs),0
2021-03-22,FIND EQA directory (COVID-19),0
2021-03-22,FIND NGS Capacity (COVID-19),0
2021-03-22,FIND Sars-CoV-2 Policy dashboard,0
2021-03-22,FIND Sars-CoV-2 Test tracker,1116
2021-03-22,FIND Test directory (COVID-19),756
2021-03-22,FIND Test directory (Ebola),0
2021-03-22,FIND Test directory (Monkeypox),0
2021-03-22,FIND Test directory (NTDs),0
2021-03-29,FIND EQA directory (COVID-19),0
2021-03-29,FIND NGS Capacity (COVID-19),0
2021-03-29,FIND Sars-CoV-2 Policy dashboard,0
2021-03-29,FIND Sars-CoV-2 Test tracker,1376
2021-03-29,FIND Test directory (COVID-19),545
2021-03-29,FIND Test directory (Ebola),0
2021-03-29,FIND Test directory (Monkeypox),0
2021-03-29,FIND Test directory (NTDs),0
2021-04-05,FIND EQA directory (COVID-19),0
2021-04-05,FIND NGS Capacity (COVID-19),0
2021-04-05,FIND Sars-CoV-2 Policy dashboard,0
2021-04-05,FIND Sars-CoV-2 Test tracker,1990
2021-04-05,FIND Test directory (COVID-19),693
2021-04-05,FIND Test directory (Ebola),0
2021-04-05,FIND Test directory (Monkeypox),0
2021-04-05,FIND Test directory (NTDs),0
2021-04-12,FIND EQA directory (COVID-19),0
2021-04-12,FIND NGS Capacity (COVID-19),0
2021-04-12,FIND Sars-CoV-2 Policy dashboard,0
2021-04-12,FIND Sars-CoV-2 Test tracker,2666
2021-04-12,FIND Test directory (COVID-19),919
2021-04-12,FIND Test directory (Ebola),0
2021-04-12,FIND Test directory (Monkeypox),0
2021-04-12,FIND Test directory (NTDs),0
